GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model,SortRequest.Direction,34,15,0,0,9,3,4,1,4,1
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model,SortRequest.Order,261,0,24,0,50,0,36,0,24,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model,JacksonPageImpl,6,0,0,0,2,0,1,0,1,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model,SortRequest.NullHandling,21,0,0,0,4,0,1,0,1,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model,PageResponse,10,0,0,0,2,0,2,0,2,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model,ChunkResponse,93,60,20,4,16,13,18,9,6,9
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model,UnpagedRequest,41,0,2,0,14,0,12,0,11,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model,JacksonPageableRequestImpl,6,0,0,0,2,0,1,0,1,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model,AbstractPageableRequest,77,28,16,2,15,9,13,4,4,4
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model,SortRequest,118,40,12,2,25,11,18,8,11,8
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model,PageableRequest,19,13,4,2,3,3,6,3,3,3
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model,SliceResponse,26,0,4,0,3,0,5,0,3,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model,ValidateProfileResponse,12,0,0,0,5,0,1,0,1,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model,BusinessApiException,23,0,0,0,9,0,5,0,5,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model,PageResponseImpl,112,80,19,5,18,12,16,8,4,8
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model,PageableRequestImpl,136,23,10,0,20,6,16,4,11,4
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users,Routes,3,0,0,0,1,0,1,0,1,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model.exception.profile,ProfileEnableStatusExceptionResponseApi,7,0,0,0,3,0,2,0,2,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model.exception.profile,ProfileNotFoundException,7,0,0,0,3,0,2,0,2,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model.exception.profile,ProfileTypeNotFoundExceptionResponseApi,7,0,0,0,3,0,2,0,2,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model.exception.profile,ProfileException,7,0,0,0,3,0,2,0,2,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model.exception.profile,ProfileExistingException,7,0,0,0,3,0,2,0,2,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model.exception.profile,ProfileDeletedException,7,0,0,0,3,0,2,0,2,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model.exception.profile,ProfileTypeNotFoundException,7,0,0,0,3,0,2,0,2,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model.exception.profile,ProfileBadRequestExceptionResponseApi,7,0,0,0,3,0,2,0,2,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model.enums,ConsumerTypeApiEnum,0,47,0,0,0,8,0,4,0,4
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model.exception,InvalidRequestException,7,0,0,0,3,0,2,0,2,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model.exception,GenericExceptionTracker,18,0,0,0,7,0,1,0,1,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model.exception,NotFoundException,7,0,0,0,3,0,2,0,2,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model.exception,GenderNotFoundException,7,0,0,0,3,0,2,0,2,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model.exception,UserTypeNotFoundException,8,0,0,0,4,0,2,0,2,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model.exception,StateNotFoundException,7,0,0,0,3,0,2,0,2,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model.exception,ZipcodeNotFoundException,7,0,0,0,3,0,2,0,2,0
Aggregated Reports/users-service-api,io.oigres.ecomm.service.users.api.model.exception,UnauthorizedException,7,0,0,0,3,0,2,0,2,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain,CardImage_,3,0,0,0,1,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain,FavouriteBrand_,3,0,0,0,1,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain,Country_,3,0,0,0,1,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain,Profile,0,18,0,0,0,4,0,3,0,3
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain,Card_,3,0,0,0,1,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain,TransactionalOutbox_,3,0,0,0,1,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain,Profile_,3,0,0,0,1,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain,ProfileType_,3,0,0,0,1,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain,Gender_,3,0,0,0,1,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain,ZipCode_,3,0,0,0,1,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain,FavouriteProduct_,3,0,0,0,1,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain,Config_,3,0,0,0,1,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain,ProfileImage_,3,0,0,0,1,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain,ProfileName,27,0,0,0,5,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain,AbstractHistoryEntity_,3,0,0,0,1,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain,User_,3,0,0,0,1,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain,DomainEntity,0,3,0,0,0,1,0,1,0,1
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain,ProfileImage,5,0,0,0,1,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain,Aggregate,0,9,0,0,0,2,0,1,0,1
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain,Auditable,0,11,0,2,0,3,0,3,0,2
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain,State_,3,0,0,0,1,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.exception.profile,UserTypeNotFoundException,4,0,0,0,2,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.exception.profile,ProfileUserException,0,4,0,0,0,2,0,1,0,1
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.exception.profile,TypeNotFoundProfileException,4,0,0,0,2,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.exception.profile,EnableStatusProfileException,5,0,0,0,2,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.exception.profile,NotFoundProfileException,4,0,0,0,2,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.exception.profile,ExistingProfileException,0,4,0,0,0,2,0,1,0,1
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.exception.profile,BadRequestProfileException,4,0,0,0,2,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.exception.profile,DeletedProfileException,0,4,0,0,0,2,0,1,0,1
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.exception,StateNotFoundException,4,0,0,0,2,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.exception,DomainException,0,4,0,0,0,2,0,1,0,1
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.exception,NotFoundException,4,0,0,0,2,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.exception,ZipcodeNotFoundDomainException,8,0,0,0,4,0,2,0,2,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.exception,InvalidException,4,0,0,0,2,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.exception,GenderNotFoundException,4,0,0,0,2,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.exception,PasswordInvalidException,4,0,0,0,2,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.exception,UserNotFoundException,4,0,0,0,2,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain.profile,AdminProfile_,3,0,0,0,1,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain.profile,DispensaryProfile,0,16,0,0,0,3,0,1,0,1
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain.profile,AdminProfile,0,25,0,0,0,6,0,1,0,1
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain.profile,ConsumerProfile_,3,0,0,0,1,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain.profile,ConsumerProfile,32,92,13,9,7,27,11,4,0,4
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.domain.profile,DispensaryProfile_,3,0,0,0,1,0,1,0,1,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.enums,ConsumerTypeEnum,29,35,4,0,5,8,4,3,2,3
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.enums,BlobType,28,0,0,0,7,0,3,0,3,0
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.enums,ResourceStatusEnum,0,21,0,0,0,4,0,1,0,1
Aggregated Reports/users-service-domain,io.oigres.ecomm.service.users.enums,ProfileTypeEnum,6,50,0,0,2,9,2,2,2,2
