GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API,io.oigres.ecomm.service.users.api.model,SortRequest.Direction,49,0,0,0,12,0,5,0,5,0
API,io.oigres.ecomm.service.users.api.model,SortRequest.Order,261,0,24,0,50,0,36,0,24,0
API,io.oigres.ecomm.service.users.api.model,JacksonPageImpl,6,0,0,0,2,0,1,0,1,0
API,io.oigres.ecomm.service.users.api.model,SortRequest.NullHandling,21,0,0,0,4,0,1,0,1,0
API,io.oigres.ecomm.service.users.api.model,PageResponse,10,0,0,0,2,0,2,0,2,0
API,io.oigres.ecomm.service.users.api.model,ChunkResponse,153,0,24,0,29,0,27,0,15,0
API,io.oigres.ecomm.service.users.api.model,UnpagedRequest,41,0,2,0,14,0,12,0,11,0
API,io.oigres.ecomm.service.users.api.model,JacksonPageableRequestImpl,6,0,0,0,2,0,1,0,1,0
API,io.oigres.ecomm.service.users.api.model,AbstractPageableRequest,105,0,18,0,24,0,17,0,8,0
API,io.oigres.ecomm.service.users.api.model,SortRequest,158,0,14,0,36,0,26,0,19,0
API,io.oigres.ecomm.service.users.api.model,PageableRequest,32,0,6,0,6,0,9,0,6,0
API,io.oigres.ecomm.service.users.api.model,SliceResponse,26,0,4,0,3,0,5,0,3,0
API,io.oigres.ecomm.service.users.api.model,ValidateProfileResponse,12,0,0,0,5,0,1,0,1,0
API,io.oigres.ecomm.service.users.api.model,BusinessApiException,23,0,0,0,9,0,5,0,5,0
API,io.oigres.ecomm.service.users.api.model,PageResponseImpl,192,0,24,0,30,0,24,0,12,0
API,io.oigres.ecomm.service.users.api.model,PageableRequestImpl,159,0,10,0,26,0,20,0,15,0
API,io.oigres.ecomm.service.users,Routes,3,0,0,0,1,0,1,0,1,0
API,io.oigres.ecomm.service.users.api.model.exception.profile,ProfileEnableStatusExceptionResponseApi,7,0,0,0,3,0,2,0,2,0
API,io.oigres.ecomm.service.users.api.model.exception.profile,ProfileNotFoundException,7,0,0,0,3,0,2,0,2,0
API,io.oigres.ecomm.service.users.api.model.exception.profile,ProfileTypeNotFoundExceptionResponseApi,7,0,0,0,3,0,2,0,2,0
API,io.oigres.ecomm.service.users.api.model.exception.profile,ProfileException,7,0,0,0,3,0,2,0,2,0
API,io.oigres.ecomm.service.users.api.model.exception.profile,ProfileExistingException,7,0,0,0,3,0,2,0,2,0
API,io.oigres.ecomm.service.users.api.model.exception.profile,ProfileDeletedException,7,0,0,0,3,0,2,0,2,0
API,io.oigres.ecomm.service.users.api.model.exception.profile,ProfileTypeNotFoundException,7,0,0,0,3,0,2,0,2,0
API,io.oigres.ecomm.service.users.api.model.exception.profile,ProfileBadRequestExceptionResponseApi,7,0,0,0,3,0,2,0,2,0
API,io.oigres.ecomm.service.users.api.model.enums,ConsumerTypeApiEnum,47,0,0,0,8,0,4,0,4,0
API,io.oigres.ecomm.service.users.api.model.exception,InvalidRequestException,7,0,0,0,3,0,2,0,2,0
API,io.oigres.ecomm.service.users.api.model.exception,GenericExceptionTracker,18,0,0,0,7,0,1,0,1,0
API,io.oigres.ecomm.service.users.api.model.exception,NotFoundException,7,0,0,0,3,0,2,0,2,0
API,io.oigres.ecomm.service.users.api.model.exception,GenderNotFoundException,7,0,0,0,3,0,2,0,2,0
API,io.oigres.ecomm.service.users.api.model.exception,UserTypeNotFoundException,8,0,0,0,4,0,2,0,2,0
API,io.oigres.ecomm.service.users.api.model.exception,StateNotFoundException,7,0,0,0,3,0,2,0,2,0
API,io.oigres.ecomm.service.users.api.model.exception,ZipcodeNotFoundException,7,0,0,0,3,0,2,0,2,0
API,io.oigres.ecomm.service.users.api.model.exception,UnauthorizedException,7,0,0,0,3,0,2,0,2,0
