GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Application,io.oigres.ecomm.service.users.usecases.users.dispensaries.list,GetAllDispensariesUseCaseImpl,11,0,0,0,4,0,2,0,2,0
Application,io.oigres.ecomm.service.users.constants,RegionServiceErrorMessages,3,0,0,0,1,0,1,0,1,0
Application,io.oigres.ecomm.service.users.constants,ProfileErrorMessages,3,0,0,0,1,0,1,0,1,0
Application,io.oigres.ecomm.service.users.usecases.users.admins.create,CreateNewAdminUserUseCaseImpl,5,102,1,5,1,29,2,6,1,4
Application,io.oigres.ecomm.service.users.usecases.users.utils,ImageUtils,29,0,6,0,10,0,6,0,3,0
Application,io.oigres.ecomm.service.users.usecases.users.list,GetAllUsersUseCaseImpl,22,0,0,0,6,0,2,0,2,0
Application,io.oigres.ecomm.service.users.usecases.users.dispensaries.create,CreateNewDispensaryUserUseCaseImpl,103,0,6,0,29,0,7,0,4,0
Application,io.oigres.ecomm.service.users.usecases.users.consumers.list,GetAllConsumersUseCaseImpl,11,0,0,0,4,0,2,0,2,0
Application,io.oigres.ecomm.service.users.usecases.users.profiles,ToggleEnabledProfileUseCaseImpl,36,0,2,0,11,0,3,0,2,0
Application,io.oigres.ecomm.service.users.usecases.users.admins.delete,DeleteAdminUserUseCaseImpl,5,63,3,3,0,18,4,3,1,3
Application,io.oigres.ecomm.service.users.usecases.users.admins.update,UpdateAdminUseCaseImpl,82,0,10,0,21,0,8,0,3,0
Application,io.oigres.ecomm.service.users.usecases.users.validate,ValidateUserUseCaseImpl,39,0,4,0,11,0,4,0,2,0
Application,io.oigres.ecomm.service.users.usecases.users.admins.list,GetAllAdminsUseCaseImpl,11,0,0,0,4,0,2,0,2,0
Application,io.oigres.ecomm.service.users.usecases.users.sendcode,SendCodeUseCaseImpl,97,0,6,0,21,0,7,0,4,0
Application,io.oigres.ecomm.service.users.usecases.users.consumers.update,UpdateConsumerUseCaseImpl,331,0,34,0,86,0,25,0,8,0
Application,io.oigres.ecomm.service.users.usecases.users.consumers.delete,DeleteConsumerUserUseCaseImpl,68,0,6,0,18,0,7,0,4,0
Application,io.oigres.ecomm.service.users.usecases.users.search,GetUserByIdUseCaseImpl,17,0,0,0,5,0,2,0,2,0
Application,io.oigres.ecomm.service.users.usecases.users.admins.enable,DisableAdminUseCaseImpl,13,0,0,0,4,0,2,0,2,0
Application,io.oigres.ecomm.service.users.usecases.users.admins.enable,EnableAdminUseCaseImpl,13,0,0,0,4,0,2,0,2,0
Application,io.oigres.ecomm.service.users.usecases.users.gender,GetGenderByIdUseCaseImpl,19,0,0,0,6,0,3,0,3,0
Application,io.oigres.ecomm.service.users.usecases.users.gender,GetAllGendersUseCaseImpl,11,0,0,0,4,0,2,0,2,0
Application,io.oigres.ecomm.service.users.usecases.uploads,GetStoreLocationUseCase,12,0,0,0,4,0,2,0,2,0
Application,io.oigres.ecomm.service.users.usecases.users.dispensaries.search,GetDispensaryByIdUseCaseImpl,31,0,0,0,9,0,3,0,3,0
Application,io.oigres.ecomm.service.users.usecases.users.dispensaries.search,GetDispensaryByDispensaryIdUseCaseImpl,14,0,0,0,6,0,2,0,2,0
Application,io.oigres.ecomm.service.users.usecases.users.consumers.create,CreateNewConsumerUserUseCaseImpl,306,0,18,0,84,0,22,0,13,0
Application,io.oigres.ecomm.service.users.usecases.users.verifycode,VerifyCodeUseCaseImpl,83,0,10,0,17,0,7,0,2,0
Application,io.oigres.ecomm.service.users.usecases.region.search,GetZipCodeByIdUseCaseImpl,19,0,0,0,7,0,3,0,3,0
Application,io.oigres.ecomm.service.users.usecases.region.search,GetZipCodesByStateImpl,13,0,0,0,4,0,2,0,2,0
Application,io.oigres.ecomm.service.users.usecases.region.search,GetStateByIdUseCaseImpl,19,0,0,0,6,0,3,0,3,0
Application,io.oigres.ecomm.service.users.usecases.region.search,GetStatesUseCaseImpl,11,0,0,0,4,0,2,0,2,0
Application,io.oigres.ecomm.service.users.usecases.users.delete,DeleteUserUseCaseImpl,23,0,0,0,8,0,2,0,2,0
Application,io.oigres.ecomm.service.users.usecases.users.dispensaries.update,UpdateDispensaryUseCaseImpl,64,0,8,0,17,0,7,0,3,0
Application,io.oigres.ecomm.service.users.usecases.users.consumers.search,GetConsumerByIdUseCaseImpl,31,0,0,0,9,0,3,0,3,0
Application,io.oigres.ecomm.service.users.usecases.users.images,ChangeCardImageStatusUseCaseImpl,98,0,4,0,32,0,8,0,6,0
Application,io.oigres.ecomm.service.users.usecases.users.images,CleanUpBrokenCardImagesUseCaseImpl,187,0,26,0,58,0,22,0,9,0
Application,io.oigres.ecomm.service.users.usecases.users.images,ChangeProfileImageStatusUseCaseImpl,47,0,2,0,14,0,3,0,2,0
Application,io.oigres.ecomm.service.users.usecases.users.admins.search,GetAdminByIdUseCaseImpl,31,0,0,0,9,0,3,0,3,0
Application,io.oigres.ecomm.service.users.usecases.users.dispensaries.delete,DeleteDispensaryUserUseCaseImpl,68,0,6,0,19,0,7,0,4,0
