GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
- Rest API,io.oigres.ecomm.service.users.config.mapper,ResponsesMapper,525,314,50,18,172,90,49,10,15,10
- Rest API,io.oigres.ecomm.service.users.config.mapper,ResponsesMapperImpl,187,84,25,5,47,21,20,5,6,4
- Rest API,io.oigres.ecomm.service.users.config,WebConfiguration,47,86,3,1,14,22,2,8,0,8
- Rest API,io.oigres.ecomm.service.users.web.http,LoggingRequestFilter,10,137,4,4,2,33,4,4,0,4
- Rest API,org.springframework.data.web,PageableRequestHandlerMethodArgumentResolver,166,224,29,15,46,59,34,12,12,12
- Rest API,org.springframework.data.web,SortRequestHandlerMethodArgumentResolver.ExpressionBuilder,57,0,4,0,13,0,6,0,4,0
- Rest API,org.springframework.data.web,SortRequestHandlerMethodArgumentResolver,320,71,41,3,77,23,34,5,12,5
- Rest API,org.springframework.data.web,SortRequestHandlerMethodArgumentResolver.SortOrderParser,170,0,16,0,30,0,19,0,11,0
- Rest API,io.oigres.ecomm.service.users.api,AbstractController,0,3,0,0,0,1,0,1,0,1
- Rest API,io.oigres.ecomm.service.users.api,RegionController,181,0,0,0,51,0,6,0,6,0
- Rest API,io.oigres.ecomm.service.users.api,UsersController,1101,134,8,0,298,42,44,3,40,3
